TIGHT n=18 m=140 tag=perturb g6=Q~~~~~~^|~x}z~|~~^~z~~n~nVw t=8.8s
TIGHT n=18 m=108 tag=perturb g6=Qj~lvvx^sNbRz}y}nz{ry^vw[Bw t=0.4s
TIGHT n=18 m=106 tag=perturb g6=QwnXlYs^ozz~jylnpZ|?r^~}}vw t=0.7s
TIGHT n=18 m=98 tag=perturb g6=QBnZvddyk|p]y|_}^^~az]}gG}g t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q~|z|fy\~|~Iz^S`|rbgl{uJgtg t=0.4s
TIGHT n=18 m=110 tag=perturb g6=QfrZv~n^lvzWj}\U|]tV|ivtnVg t=1.8s
TIGHT n=18 m=109 tag=perturb g6=QtMVn~mDW~X}Z~\zfZxu^~Vuflw t=0.9s
TIGHT n=18 m=109 tag=perturb g6=Qz}^t[g]}xp]y|L~^^xrZ^~g{^w t=0.9s
TIGHT n=18 m=102 tag=perturb g6=QvfR{iuV~yJ}yxC]zrfg~Fqmz~g t=0.3s
TIGHT n=18 m=123 tag=perturb g6=Q~n~{Xv~k~vn~zl~zx~jl{e~}^g t=0.9s
TIGHT n=18 m=108 tag=perturb g6=Q~jujnTNx]e}~^x~j^}bLTE{tvw t=0.8s
TIGHT n=18 m=111 tag=perturb g6=Q~jr~|fJ~Nf{z~o~n\Vjnwe~pRo t=1.9s
TIGHT n=18 m=110 tag=perturb g6=Q^zRxmz~^frDnnZ~^TY|W|~~jCw t=0.3s
TIGHT n=18 m=98 tag=perturb g6=Qgz~v~GZ[zJmj~~mjRpQeqvs|@W t=0.3s
TIGHT n=18 m=108 tag=perturb g6=Qzn~ZyvZ~~|uz]t]lqnG}cpT^}G t=0.4s
TIGHT n=18 m=106 tag=perturb g6=Q~n}~|RBw^u^yYt\nZ~qN]E}reo t=0.9s
TIGHT n=18 m=109 tag=perturb g6=QU~MZ|zN|pxUzn|VnK]zzum}|vO t=0.6s
TIGHT n=18 m=106 tag=perturb g6=Qun}~|RNxvf|u}t^NX|aGtEy|vw t=0.8s
TIGHT n=18 m=111 tag=perturb g6=QzfV~kuL~~E^~w~SIxdz||a~|~w t=1.7s
TIGHT n=18 m=96 tag=perturb g6=Qtnr{gvF|qNq]rTUnvF`jdqyzLw t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Qz~u|sV^|~nn]^HFJpng|cu~JNO t=0.5s
TIGHT n=18 m=98 tag=perturb g6=QU~\bZsq]XakQ~~}|YH[Nnru{^o t=0.3s
TIGHT n=18 m=98 tag=perturb g6=QZz\ThgM|Nl}isLmFXlv[xf^m^w t=0.3s
TIGHT n=18 m=103 tag=perturb g6=QlzzD~~^~bFN_^|\f^rDJvK|r]G t=0.6s
TIGHT n=18 m=109 tag=perturb g6=QfvydZo^|~zvz}P[}r|rzVfy|Rw t=0.6s
TIGHT n=18 m=97 tag=perturb g6=Q}YW^|X\uN`lI|HJV`}pL~n}}Xw t=0.5s
TIGHT n=18 m=99 tag=perturb g6=QZM|jqz]~zaHX{|lKeB^^nvvlBW t=0.4s
TIGHT n=18 m=99 tag=perturb g6=Qy}~~fN}N|MXpsx\[[RrHqNV\VW t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Qz\Nt{km{|w}yp[lt{Xz]~v{m~W t=0.8s
TIGHT n=18 m=110 tag=perturb g6=Q\xw||~f}aenBn|]~^}x|mzgr^w t=1.4s
TIGHT n=18 m=122 tag=perturb g6=Q~~~~||]lyxGZ||~~]~y]~v~lVg t=2.1s
TIGHT n=18 m=96 tag=perturb g6=Qxzwl[\jUaVqFj{n~^|pldalxV_ t=0.5s
TIGHT n=18 m=114 tag=perturb g6=Q}jV^|sX|kD}}~s~|~~jnyf~vJo t=0.9s
TIGHT n=18 m=101 tag=perturb g6=Q^g|t{v}xzevzV@}nzdwow}If\w t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q^K{c~u}D{Erz\tzm~~fKlfm|Vg t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Q[~^~u|Rczb^jzH\~X|qr~vW{Uw t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Qn^{tvo^pSx}z~xvnU{vNuBumNw t=1.2s
TIGHT n=18 m=109 tag=perturb g6=Qx]wn~vvxvb`~ydxuJ]^z}\fzmw t=0.3s
TIGHT n=18 m=104 tag=perturb g6=Q{T{}^}n}@vzf~{}{NnR|mkKJXg t=1.6s
TIGHT n=18 m=88 tag=perturb g6=QV|Us{}FBaFqzpM{vZ`wk{oPy\w t=0.3s
TIGHT n=18 m=102 tag=perturb g6=Qyf}~guLu~E~t~qsixdy|lEm{ng t=0.5s
TIGHT n=18 m=101 tag=perturb g6=Qvm^wgO~v|aub^lz[JUxVgs~~^w t=0.6s
TIGHT n=18 m=110 tag=perturb g6=Q~bzl[vVn~kdz^p[nzng|kr}|^w t=2.0s
TIGHT n=18 m=115 tag=perturb g6=Qx~]}^vR}~zzzih|]Y{||yn|~mG t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q~l~~vbJdrfNj~t~nZ~AhHE}|v_ t=1.5s
TIGHT n=18 m=105 tag=perturb g6=Q[wEf\v\|~fw`^|~}b|yy`n}xtw t=0.9s
TIGHT n=18 m=95 tag=perturb g6=Qlzy~I~IVn_LbbxzZVrd|~BrpI_ t=1.6s
TIGHT n=18 m=110 tag=perturb g6=Q^^^~xw]{|x}Y{^t^^~rJ~ckiVw t=0.9s
TIGHT n=18 m=108 tag=perturb g6=Q~}v|^vZhx\IY~x~a]xf\zl~hVG t=1.7s
TIGHT n=18 m=99 tag=perturb g6=Q\n}RZmrWlyfz~[N}]^SL\BuP]w t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Qy^~f|sv]~x}bj|~n[xs^~RufN_ t=1.1s
TIGHT n=18 m=103 tag=perturb g6=QRYy|^~^\N}njb\]~^ip|UkwXpW t=0.3s
TIGHT n=18 m=100 tag=perturb g6=Quk~HK^{slrR~^HzZpE]lKun~^w t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q{n|j~|^[~x}q~mvzJlr}\ryh\W t=0.7s
TIGHT n=18 m=101 tag=perturb g6=Q~\tn|[Ew|Awz~[vjrxS~nNqlEw t=0.6s
TIGHT n=18 m=102 tag=perturb g6=Qv^^m~LrZVwaz~^tl^xi\umabJG t=0.6s
TIGHT n=18 m=112 tag=perturb g6=Q]^nbq{U[||y~~n~m~|sJnVu{^o t=0.8s
TIGHT n=18 m=109 tag=perturb g6=Q^Y}~~zFDzzwY{~~y\xL]onjnvg t=0.8s
TIGHT n=18 m=115 tag=perturb g6=QT^s|~~U~rxgB~|~~}hzU^vx~Vw t=0.8s
TIGHT n=18 m=107 tag=perturb g6=Q~zyn|~ryQsnFlh\~^yP~mjybRw t=1.1s
TIGHT n=18 m=86 tag=perturb g6=QhXYd^p~{T}qjkeuPk\bboFvgYO t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q\|^~u{Zazb^bJH|zz|Qp^vz{uW t=0.4s
TIGHT n=18 m=110 tag=perturb g6=Qzn^t[gW{xxuk|L~~]\b^~~\|^w t=0.4s
TIGHT n=18 m=113 tag=perturb g6=Q~~~l{vV~~Lt^NTmnrrg}cij~zw t=0.9s
TIGHT n=18 m=98 tag=perturb g6=Q|zwH}v^~nojjFhuO^pdt~fxrWG t=2.3s
TIGHT n=18 m=103 tag=perturb g6=QRN~hwnlkjjvX~TYmz}g|iiynvw t=0.3s
TIGHT n=18 m=108 tag=perturb g6=Q~m|v|vV|~aKjyt~|H~jskcVf^w t=1.1s
TIGHT n=18 m=127 tag=perturb g6=Qv^~~}^^\~x{z~|vn^vz~|f~lRw t=1.9s
TIGHT n=18 m=100 tag=perturb g6=QVjrZgf^{jfez^sFvu~jnoe\\Yo t=0.6s
TIGHT n=18 m=98 tag=perturb g6=Q^glT{v~x~EvzR@}nzdwqwyif[g t=0.5s
TIGHT n=18 m=114 tag=perturb g6=Qx~}]nV^Xmxz~m`{kZ~|~Y~~ykw t=1.9s
TIGHT n=18 m=97 tag=perturb g6=QP^pzlJ^y@aFh~{\qRZd|jn{nrw t=0.3s
TIGHT n=18 m=103 tag=perturb g6=QvbND{VyT~uvzyP|hwug\ku~~^w t=0.6s
TIGHT n=18 m=108 tag=perturb g6=Qn}~N^|}nm~}v{Pj}YVuvpCtGvw t=0.3s
TIGHT n=18 m=117 tag=perturb g6=Q~lm~~Vu^~|^s|T|}]Yvl~n~LTW t=1.9s
TIGHT n=18 m=102 tag=perturb g6=Qzf||lsF}~Ejdn{_izdy||a~{nG t=0.5s
TIGHT n=18 m=109 tag=perturb g6=QuzfdXv\t~i^`^~~}q~ywtM}xtw t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q^n~nWUdwznvj~tQfrmgtki}nVo t=0.8s
TIGHT n=18 m=110 tag=perturb g6=Q~^~fn|fWnX{z~\~n^xuNnHumQ_ t=1.8s
TIGHT n=18 m=110 tag=perturb g6=QzF~~kUNurF^]~}si~|y|{e~\lg t=0.3s
TIGHT n=18 m=120 tag=perturb g6=Qujt^nnnt~J}z^|\~^~J~{n~mTw t=1.7s
TIGHT n=18 m=121 tag=perturb g6=Qmjv~~vR|nbzZ~t~~zzjjzfn~Zo t=2.2s
TIGHT n=18 m=89 tag=perturb g6=Q`dqsgRYvnxxtrZzHZPC{nnrs]_ t=0.5s
TIGHT n=18 m=112 tag=perturb g6=Q^xl~{vN~kv~n~f^l^rbLkFs{vw t=2.2s
TIGHT n=18 m=109 tag=perturb g6=Q|Qg~v~n}iVzFn|z~^xR|Em}j\_ t=0.8s
TIGHT n=18 m=92 tag=perturb g6=Q~Vv^}[oOfbWrr\VJ{ReEnPc~^G t=0.3s
TIGHT n=18 m=110 tag=perturb g6=Q{rv^V]]kxwHz~L~~N~t^Yf~lVW t=1.0s
TIGHT n=18 m=101 tag=perturb g6=Qvfrlkve~~ntz^t]jkhg|ray@nG t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Q\vZ}kympTxGAj|~n^|q}]v~nVw t=0.6s
TIGHT n=18 m=101 tag=perturb g6=Qx|Nt{{Mw|X}}xkcfSppV~v}m]w t=0.4s
TIGHT n=18 m=113 tag=perturb g6=QV^\}}tf^xx}gz|~n~lu^~BVfn_ t=1.9s
TIGHT n=18 m=97 tag=perturb g6=Q^Lnv~~i~ZoQZr{R|Ini^iEhwEW t=0.3s
TIGHT n=18 m=115 tag=perturb g6=Q}mv~|^^|~bNb}dz|X|jx{e~|^W t=1.7s
TIGHT n=18 m=99 tag=perturb g6=QTn~n{Vlnkjbj^@[nzmgXYqwmvw t=0.3s
TIGHT n=18 m=119 tag=perturb g6=Q~~~~~~M|zzMz~lLnJ~|]ZfzlBg t=0.9s
TIGHT n=18 m=115 tag=perturb g6=Q|zvn~{v[nW~Z|n\n^xu^~TenMw t=1.2s
TIGHT n=18 m=118 tag=perturb g6=Q~n~{Rq^{}vn~zllzx~jl{e~}^g t=1.8s
TIGHT n=18 m=105 tag=perturb g6=Q~nu|s~~|~czz]OnfRJ_|euVzJW t=1.6s
TIGHT n=18 m=106 tag=perturb g6=Q~TDj{tKt}azz~d~|Ryf~^No|Vw t=0.7s
TIGHT n=18 m=101 tag=perturb g6=Qjx[lZk~]nomVX~~^ZG]n~rUc\_ t=0.3s
TIGHT n=18 m=119 tag=perturb g6=Qvl^~|v^v~n~z}sznX~aY|Mm|vw t=1.8s
TIGHT n=18 m=103 tag=perturb g6=Q\Ypn[{^{nx~x{\~pJ|az\nihVW t=0.5s
TIGHT n=18 m=104 tag=perturb g6=Q{nV~}rZlj`XI~|~MUvn~WN}dFO t=1.0s
TIGHT n=18 m=95 tag=perturb g6=QjO^|{y^{nxRiUPViq{xxd{Tz\g t=0.5s
TIGHT n=18 m=115 tag=perturb g6=Q{~^z}k^s~x~jjlnzZ|Rr^vykvw t=1.7s
TIGHT n=18 m=105 tag=perturb g6=QnczfDvNvjf~zzov|W\qGZrn~vw t=0.3s
TIGHT n=18 m=100 tag=perturb g6=QtYzf~^MZbfdJjC{~Dpr\~M{}ng t=0.3s
TIGHT n=18 m=102 tag=perturb g6=Qzt^ts\Mwdw}t~\pfu?r\~v{m^w t=1.7s
TIGHT n=18 m=101 tag=perturb g6=QeV{y~|WLIShrrttUZzvUVR|~~w t=0.3s
TIGHT n=18 m=115 tag=perturb g6=Qzzmzru]|}xM~n|M~I}z^~n~lQW t=4.7s
TIGHT n=18 m=105 tag=perturb g6=Qx|^S{kMwt\~y\[lfUzrZ~v{m^w t=1.8s
TIGHT n=18 m=108 tag=perturb g6=Q~ivvTv{nJXh[~|^eH|f^n~~bUg t=0.3s
TIGHT n=18 m=96 tag=perturb g6=Q]}t_|v|{oE|z~altivX[HEnFng t=0.3s
TIGHT n=18 m=108 tag=perturb g6=Qv{sfz[u{s|}z~x|h^w}T~RvnMo t=0.6s
TIGHT n=18 m=106 tag=perturb g6=Qm~^v|G^[~jxq}|Nj^trpuFq|Rw t=1.5s
TIGHT n=18 m=97 tag=perturb g6=QzV~V}YsSjbYr}XTZ{vvQJru~IO t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Qpmr}]AzpVb^~~u}mx~zmwan{go t=0.4s
TIGHT n=18 m=107 tag=perturb g6=QX}zn~~V^NyNjn[}~LZdt{h{B^G t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Q~rxL~~~xFzjF~WLfZnbx^Z|_Uw t=0.9s
TIGHT n=18 m=96 tag=perturb g6=QMT]V}~Vs^BnzulQHNhFj^Auflw t=0.3s
TIGHT n=18 m=110 tag=perturb g6=QxZg}\~NeavzBn|~~~yZ|liez^w t=0.3s
TIGHT n=18 m=94 tag=perturb g6=QIz|F|xaqm|y~cdxlJweTrRVnMW t=0.3s
TIGHT n=18 m=97 tag=perturb g6=Qn^yb|O{[tw~WF|~n^~^zd?uPH_ t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Qz|^t[{Mw|Xuys\[fUxvV~v{m^w t=0.9s
TIGHT n=18 m=112 tag=perturb g6=Q|pb|}v^ztxf^NV\~VZp|ln}jVw t=1.7s
TIGHT n=18 m=107 tag=perturb g6=QVY{V~^TypzGbyt|n]vj{^vx^vw t=1.1s
TIGHT n=18 m=99 tag=perturb g6=QK^Z~xw]||x}Y[NtN]arJ~ckiVw t=0.3s
TIGHT n=18 m=95 tag=perturb g6=Q~y{ZUyBqaeeF||\~^wPTmyGuzw t=0.5s
TIGHT n=18 m=112 tag=perturb g6=Q}x~~|vx|~fzj~t~eP~AH@Z~lvw t=0.4s
TIGHT n=18 m=107 tag=perturb g6=Qy|nl{kMw|Z]y|XtfUxr^|~{m^w t=0.6s
TIGHT n=18 m=107 tag=perturb g6=Q}b~ltuVl~kdi^PMjzng}kr~~^w t=1.0s
TIGHT n=18 m=98 tag=perturb g6=QvfRwiuV~yJuzzC]jRfgfFqmz~g t=0.6s
TIGHT n=18 m=111 tag=perturb g6=Q\Zw~Xpn}a~rRN|^v^nY~mmmz|w t=0.8s
TIGHT n=18 m=115 tag=perturb g6=Q~]|fz{v[sx}z~|~n^xu^vZuNFo t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Qw~~xsgns|x~jqlnj^|q~Uvyk^w t=0.4s
TIGHT n=18 m=102 tag=perturb g6=Q]jVQLkXz{D]]ns~|~}ajz]^~Bo t=1.8s
TIGHT n=18 m=102 tag=perturb g6=Q^dv~wvNs^l{z~?dm\~aNvaqLvw t=0.6s
TIGHT n=18 m=105 tag=perturb g6=Q~}v|^sJh|\AY~x~i[xf\zl~hZG t=0.4s
TIGHT n=18 m=112 tag=perturb g6=Q|zw~N~n}avyFn|n}]rR|mnej\w t=2.1s
TIGHT n=18 m=109 tag=perturb g6=QtMVn|eFw~xnZ||zf^xu^pZ}^ew t=1.0s
TIGHT n=18 m=106 tag=perturb g6=Q\rz]}^v|frfjNwN}PBS\~n}j^W t=0.9s
TIGHT n=18 m=105 tag=perturb g6=Q}hfdXrNt~nw`^~~mP~ywdm}rtw t=0.6s
TIGHT n=18 m=100 tag=perturb g6=Q~lt\{v\||LvyXLmeXnWvwtp\\G t=1.6s
TIGHT n=18 m=109 tag=perturb g6=Q~|}~zS^vvLr`vVcijNj|we^~^w t=0.8s
TIGHT n=18 m=126 tag=perturb g6=Q|zh^z~^~nrnjn|^~vzp|~n}z^w t=2.5s
TIGHT n=18 m=102 tag=perturb g6=QnUjfxz}[t|{WF|~n^|Vz@RUVN_ t=0.3s
TIGHT n=18 m=110 tag=perturb g6=QYF~ZnVJuPB\v~~ci~|z|{e~~nw t=0.6s
TIGHT n=18 m=101 tag=perturb g6=QnUyfx^}[u|sW^|~n^|VzDRuSH_ t=1.7s
TIGHT n=18 m=114 tag=perturb g6=Q~nn~~fJN^fsJ~o~~\vjnwe}xzo t=1.7s
TIGHT n=18 m=104 tag=perturb g6=Q{H@b~^^zbf~jn\\|NxP|]Ns}zW t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Q~KZ~|vNl~vNznd~jX~aL^EMxrw t=1.8s
TIGHT n=18 m=109 tag=perturb g6=QCr||~~VkvrfnNw^~V^`h~n}bTw t=1.0s
TIGHT n=18 m=105 tag=perturb g6=QZ~Zqd`}kzx}ZlL~^^|x~UfgmNg t=1.9s
TIGHT n=18 m=103 tag=perturb g6=Qnho~i^Jvn_~db~~Z^qkt^fytZ_ t=0.5s
TIGHT n=18 m=95 tag=perturb g6=Q|hwf|X^|vauJCsv^~]EegEx|ZW t=0.6s
TIGHT n=18 m=110 tag=perturb g6=Qz~\v{o]{|p}x|L~^^|rRy^gm^w t=1.4s
TIGHT n=18 m=103 tag=perturb g6=Qzjx~|~uZeumFK|]~^w\TkHgr^w t=1.8s
TIGHT n=18 m=105 tag=perturb g6=Qm~\jZsV]~oMQz~}|ZW}nfbux^o t=0.6s
TIGHT n=18 m=105 tag=perturb g6=Q~hmvqP~{vmEzskjvy~jb{f||Zo t=1.7s
TIGHT n=18 m=104 tag=perturb g6=QRZ^vd`}c|x}y|Lr^^xZZfvgm^w t=1.0s
TIGHT n=18 m=100 tag=perturb g6=Q~hzt[f^|zfvXxp^lX|g@|IYlVw t=0.3s
TIGHT n=18 m=109 tag=perturb g6=QxRxu~~^^ffnfzy~}VJpZ]Y}jUg t=0.9s
TIGHT n=18 m=107 tag=perturb g6=Qe~zVR{ZsvZvz}HvzB|RZVfy~Vw t=0.8s
TIGHT n=18 m=110 tag=perturb g6=Qpn~~xvNk~f~zqpznnnJlkef~YO t=1.7s
TIGHT n=18 m=113 tag=perturb g6=Q|ZG~~Z^y^rnjlx^^Jzwlznyz^w t=0.9s
TIGHT n=18 m=115 tag=perturb g6=QZqnf~z]\Yx]~rxz}]^~^~n~LdW t=0.6s
TIGHT n=18 m=105 tag=perturb g6=QYf}|{v^}nevZ^D]^yNgzkuZt^G t=0.8s
TIGHT n=18 m=123 tag=perturb g6=QzJv^hv^|nf~z~s~~z~jnyf~~Zo t=2.5s
TIGHT n=18 m=113 tag=perturb g6=Q^^~~~tvMlx{hz~~nsdu\~RvfIo t=0.6s
TIGHT n=18 m=103 tag=perturb g6=QQ~|~N\]hGhDz~t\r^uw[|^neVw t=1.8s
TIGHT n=18 m=103 tag=perturb g6=QmJ~aZk|T^x}z~mbnbpu[bRvnNw t=0.3s
TIGHT n=18 m=115 tag=perturb g6=Q|~~~~~I{xzNr~|NnJz~QZfxlRg t=0.9s
TIGHT n=18 m=111 tag=perturb g6=Q}~Xnz\V{mR~r|[r}UnHZ~n~{Zg t=0.6s
TIGHT n=18 m=98 tag=perturb g6=Qy|~TWlGW|X]z{NtfEpu~mNwm^w t=0.7s
TIGHT n=18 m=115 tag=perturb g6=Qv~~~|}]frpAAx|~~]~qu}t~nVw t=0.4s
TIGHT n=18 m=110 tag=perturb g6=Q}zfdXvLt~i^h^~~}q~y[tM}xtw t=0.4s
TIGHT n=18 m=109 tag=perturb g6=Q^\nz|tn~NFzznf~^JraL[Fs|vg t=0.3s
TIGHT n=18 m=95 tag=perturb g6=Q[}gvxw^wB`manl\qZxT|bf~jZg t=0.3s
TIGHT n=18 m=110 tag=perturb g6=Qzv}^kuLu~E~t~{sghfy||a~|~w t=0.9s
TIGHT n=18 m=116 tag=perturb g6=QVnjftz^]~z{z~|Nnzzjm{e|lZw t=0.4s
TIGHT n=18 m=97 tag=perturb g6=Q[Eq\sz~|~cz~]OnvVH_xeuVzJW t=0.8s
TIGHT n=18 m=102 tag=perturb g6=QZmz^qz]~|iHx|xLKeB^^nvvlBW t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Qm~|j^o^[^omRz~~XTWinmbvd^o t=0.3s
TIGHT n=18 m=107 tag=perturb g6=Q~nlt{vBt~n~z^PNjpl_|{e~jjW t=1.8s
TIGHT n=18 m=104 tag=perturb g6=Q]J~~|~LtzrD~~LgNUY^lww}dVo t=1.0s
TIGHT n=18 m=120 tag=perturb g6=Quit~nn~t~J}z^x|~~~J~{jvmTw t=0.8s
TIGHT n=18 m=110 tag=perturb g6=Qz~~~N~Y|zpOzt|VuY~y^~Ep{^? t=2.0s
TIGHT n=18 m=109 tag=perturb g6=Qyn|n{vz|}~}fRT\nzhwPKv|~Qw t=1.8s
TIGHT n=18 m=104 tag=perturb g6=Q~Cz~~l}|zjGH{{DlnJ^VfUrn}W t=1.4s
TIGHT n=18 m=106 tag=perturb g6=Q^\zn|wL}{\~z]{yv\|lW^r]hFO t=0.4s
TIGHT n=18 m=100 tag=perturb g6=Q|~pvv\Z{NRvIfXE^Jxo`~n}yTg t=0.3s
TIGHT n=18 m=96 tag=perturb g6=Q\M|joz]r~iXXw|lKeB^^NvVlBW t=0.3s
TIGHT n=18 m=104 tag=perturb g6=Q{zw}I~^~jsjjF^v^]wdt~fsJwg t=0.9s
TIGHT n=18 m=97 tag=perturb g6=QxiafpvKxVn~gUu^~z~mf{ekJI_ t=1.0s
TIGHT n=18 m=100 tag=perturb g6=Qj|ZtS[mw|XUyt\OvMhvV~v{m^w t=1.7s
TIGHT n=18 m=109 tag=perturb g6=Qn|^fhvN|~f~x~V]nZzaHNEy|rg t=0.9s
TIGHT n=18 m=100 tag=perturb g6=QvxW|}RN~mOlrvcWnI~_n~n|rUg t=0.9s
TIGHT n=18 m=109 tag=perturb g6=QUz{~n]UiqxGb~|~~|{z}NzonVw t=0.4s
TIGHT n=18 m=98 tag=perturb g6=Qvlp~_vV|uI~HzS^nrdi|CrYyvg t=0.3s
TIGHT n=18 m=114 tag=perturb g6=Qe~zvZ{^}|zvv}X~zB{rzRf}lVw t=0.9s
TIGHT n=18 m=97 tag=perturb g6=Qun~w|VVw~b}~{SqyJtj?{e{sBw t=0.8s
TIGHT n=18 m=107 tag=perturb g6=Q~^~|}tVxzuvz^L]fzLgBkuYvVg t=0.3s
TIGHT n=18 m=100 tag=perturb g6=Q|`lssv^|FhfGVT^nZ}glw^^z\w t=0.4s
TIGHT n=18 m=110 tag=perturb g6=Qdhb|~~^ztjfbNV\~VZp|Nn}jVw t=0.9s
TIGHT n=18 m=98 tag=perturb g6=Qtnv{gpFvuN~}pS^fbfgtcq}yvg t=0.3s
TIGHT n=18 m=101 tag=perturb g6=Qtm\wgQ~v}isb^l~[JUxV{cn~^w t=0.4s
TIGHT n=18 m=96 tag=perturb g6=Qzf{{pUN]~eJdi{_jycy||a~[nW t=0.7s
TIGHT n=18 m=125 tag=perturb g6=Q~n|~\vN|~f~~zvv~z~y\{e~{Ng t=1.1s
TIGHT n=18 m=108 tag=perturb g6=QVY~{~zND|zQY~}|}\xL]wnbnvg t=1.0s
TIGHT n=18 m=106 tag=perturb g6=Qa\n~}t^tmdz~^\Vlrz\L{Eqlvo t=0.3s
TIGHT n=18 m=104 tag=perturb g6=Q~Yw}Z~n]arzAxt^~^}VtggmyNw t=0.9s
TIGHT n=18 m=100 tag=perturb g6=QvzyvlX^{ueflS^j^z}hRgenbXo t=0.4s
TIGHT n=18 m=105 tag=perturb g6=Qen|F~{bY~@{n~|xn^yuTtVuFMw t=1.5s
TIGHT n=18 m=108 tag=perturb g6=QmV}V~~V{^^k~utYNNhEX~Buf~w t=0.8s
TIGHT n=18 m=119 tag=perturb g6=Q}jv~~vrtnrzQ~|v~zzjjRfnz^o t=2.2s
TIGHT n=18 m=102 tag=perturb g6=Q|PMtxPz|vf}Nkt~Bv~fbpu{{ZW t=0.3s
TIGHT n=18 m=98 tag=perturb g6=Qu\~n{W_W~BkrvMzn^xvZYURnMg t=1.0s
TIGHT n=18 m=103 tag=perturb g6=QiB}V|~T{^Zm~uf]h\hFx~Butlw t=1.4s
TIGHT n=18 m=113 tag=perturb g6=Q|f~l{~Z{}fnz~`Vvy~j|kK~ejw t=2.4s
TIGHT n=18 m=110 tag=perturb g6=Q~^Suz\vW~X}z~\Nj^rf^tVqlno t=1.0s
TIGHT n=18 m=108 tag=perturb g6=Q{Jrj~{N|~f}~vSl~j~{k{at\RW t=1.0s
TIGHT n=18 m=105 tag=perturb g6=Qr~\v{O]{|x}x|T~^^{qRi]gm^w t=0.8s
TIGHT n=18 m=114 tag=perturb g6=QVlm~~Vu^~|^s|T|y]Yvl~n|LTw t=0.4s
TIGHT n=18 m=104 tag=perturb g6=QCrT~}n\xmrkyL[^Z^hdl~n{x}w t=0.3s
TIGHT n=18 m=105 tag=perturb g6=QzvU~kuLuvE|U~{tYxeyK|a~|~w t=0.4s
TIGHT n=18 m=93 tag=perturb g6=QJVeV}]cUmjZT^[\n{wqInSf|Mg t=0.5s
TIGHT n=18 m=113 tag=perturb g6=QP}rR~~^~~fnxeK\d~jF|~nVfzw t=1.9s
TIGHT n=18 m=104 tag=perturb g6=Qgrz[r}MwuFnWNLX~^zBx~n}z^w t=0.3s
TIGHT n=18 m=101 tag=perturb g6=QiB}V||T{ZZm^uf[x\xEz~Butlw t=0.6s
TIGHT n=18 m=109 tag=perturb g6=Q{Ix~}zNvmBgpnx^~^xdl~n}x{w t=0.9s
TIGHT n=18 m=103 tag=perturb g6=Qz^~V}]zy~bYv~jTJ{zrAJPu~M? t=0.7s
TIGHT n=18 m=110 tag=perturb g6=Q^Xx|^~}TvrfjnX\~QZp|^N}nUw t=0.9s
TIGHT n=18 m=119 tag=perturb g6=Q|^~~N|Hxyzy]h|~~^zx~wnznvg t=2.0s
TIGHT n=18 m=107 tag=perturb g6=Q{~p~hn]zBrDJ~uL^V^tt~n}|Pg t=1.9s
TIGHT n=18 m=108 tag=perturb g6=Qt}~n]u]lwz?vvflUN}q]~fznVw t=0.4s
TIGHT n=18 m=108 tag=perturb g6=Q{zx~~|^~frfjny|~VZ`lzFIHTg t=0.3s
TIGHT n=18 m=90 tag=perturb g6=QnqNqsbz|veyJl{uTE|@poUnkZO t=0.5s
TIGHT n=18 m=101 tag=perturb g6=Qn|t~\~]nixWY\SJ}Y~qvoNtKvg t=0.3s
TIGHT n=18 m=99 tag=perturb g6=QV\n\kv^lRDvYlDZuJWgK|f~~^w t=0.5s
TIGHT n=18 m=107 tag=perturb g6=QezZv~~[nj\Wbz^~u[tN[jt\nVg t=2.0s
TIGHT n=18 m=96 tag=perturb g6=QKz{jZsVMnomVXz~^ZEKnvr]sL_ t=0.3s
TIGHT n=18 m=106 tag=perturb g6=Q~^Suz\vW~X}z~\Lj^rfNtVqlm_ t=0.9s
TIGHT n=18 m=104 tag=perturb g6=Q\nv{ltFt}nvnzSlnvfk\Co}^uW t=0.3s
TIGHT n=18 m=102 tag=perturb g6=Qz^}R|\Y{vBI^te[h^xEvvVevnw t=0.4s
TIGHT n=18 m=98 tag=perturb g6=QnUyfx]u[t|sW^|~l^{V}@VqSJg t=0.8s
TIGHT n=18 m=99 tag=perturb g6=QvN~{_~v|sFrxbSX~^`wxdq]rtw t=1.7s
